tag,country_1776,fork_country_name,world_region,current_fork_role,recommended_character,recommended_title,birth_date,age_1776,date_policy,office_1776,government_1776,succession_or_election,nominal_sovereign,effective_executive,subject_type,overlord,colonial_or_company,map_dependency,recommended_v3_representation,implementation_decision,identity_confidence,constitutional_confidence,mapping_confidence,source_1,source_2,source_3,notes
TIB,Tibet under the Ganden Phodrang,Tibet,SOUTH_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_theocracy,Demo Tulku (Ngawang Jampel Delek Gyatso),Regent / Desi,,,UNKNOWN_NO_INVENTION,Regent governing for the 8th Dalai Lama,Ganden Phodrang theocratic government under a regency and Qing imperial influence,Dalai Lama reincarnation with appointed regent during minority,"Jamphel Gyatso, 8th Dalai Lama",Demo Tulku,vassal,CHI,NO,MINOR,Represent Demo Tulku as effective regent and the 8th Dalai Lama as nominal/spiritual-temporal ruler; do not flatten this into ordinary monarchy.,IMPLEMENT_REGENCY_STRUCTURE,HIGH,HIGH,HIGH,"Jamphel Gyatso, 8th Dalai Lama | https://en.wikipedia.org/wiki/Jamphel_Gyatso%2C_8th_Dalai_Lama",Treasury of Lives — Demo Tulku | https://treasuryoflives.org/biographies/view/Demo-Tulku-Ngawang-Jampel-Delek-Gyatso/13720,,Demo Tulku governed until 1777; the Dalai Lama was still a minor/young ruler in the regency framework.
TRA,Kingdom of Travancore,Travancore,INDIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Karthika Thirunal Rama Varma,Maharaja,1724,~51,YEAR_ONLY_APPROX_AGE,Maharaja of Travancore,Hereditary Travancore monarchy,Matrilineal royal succession,,Karthika Thirunal Rama Varma,INDEPENDENT,,NO,NO,Implement Dharma Raja / Karthika Thirunal Rama Varma as Maharaja.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Dharma Raja | https://en.wikipedia.org/wiki/Dharma_Raja,Kingdom of Travancore | https://en.wikipedia.org/wiki/Kingdom_of_Travancore,,He ruled 1758–1798.
ACE,Sultanate of Aceh,Aceh,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Alauddin Mahmud Syah I,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Aceh,Hereditary Acehnese sultanate,Dynastic succession with elite contestation,,Alauddin Mahmud Syah I,INDEPENDENT,,NO,NO,Implement Alauddin Mahmud Syah I as Sultan.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Alauddin Mahmud Syah I | https://en.wikipedia.org/wiki/Alauddin_Mahmud_Syah_I,Aceh Sultanate | https://en.wikipedia.org/wiki/Aceh_Sultanate,,Mahmud Syah was restored in 1773 and remained ruler through 1776.
BAL,Bali (multiple kingdoms),Bali,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Dewa Agung / multiple rajas,,,NOT_APPLICABLE,No single ruler of the whole island,Multiple Balinese kingdoms with Klungkung holding ritual/prestige primacy,Hereditary rulers in separate kingdoms,,Dewa Agung of Klungkung plus other Balinese rajas,INDEPENDENT,,NO,NO,Do not create one King of Bali. Defer centralized representation to map/political-structure rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,History of Bali | https://en.wikipedia.org/wiki/History_of_Bali,Klungkung Palace | https://en.wikipedia.org/wiki/Klungkung_Palace,,The Dewa Agung of Klungkung had prestige but not unitary sovereign control over all Bali.
BLG,Bulungan Sultanate,Bulungan,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Wira Amir / Sultan Amiril Mukminin,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Bulungan,Hereditary sultanate with regional dependency ties,Dynastic succession,,Wira Amir (Amiril Mukminin),INDEPENDENT,,NO,NO,Implement Wira Amir as Sultan; review the exact Berau/dependency relation separately.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,MEDIUM,Sultanate of Bulungan | https://en.wikipedia.org/wiki/Sultanate_of_Bulungan,,,Ruler lists place Wira Amir in office 1731–1777.
BNJ,Banjar Sultanate,Banjar,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Tahmidullah II,Sultan,1727,~48,YEAR_ONLY_APPROX_AGE,Sultan of Banjar,Hereditary Banjar sultanate,Dynastic succession,,Tahmidullah II,INDEPENDENT,,NO,NO,Implement Tahmidullah II as Sultan.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Tahmidullah II of Banjar | https://en.wikipedia.org/wiki/Tahmidullah_II_of_Banjar,Sultanate of Banjar | https://en.wikipedia.org/wiki/Sultanate_of_Banjar,,Tahmidullah II ruled 1761–1801.
BRU,Bruneian Sultanate,Brunei,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Omar Ali Saifuddin I,Sultan,1711-02-03,64,EXACT_IF_SOURCED,Sultan of Brunei,Hereditary Bruneian sultanate,Dynastic succession,,Omar Ali Saifuddin I,INDEPENDENT,,NO,NO,Implement Omar Ali Saifuddin I as Sultan.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Omar Ali Saifuddin I | https://en.wikipedia.org/wiki/Omar_Ali_Saifuddin_I,Bruneian Sultanate | https://en.wikipedia.org/wiki/Bruneian_Sultanate,,He reigned 1740–1778.
BTN,Buton Sultanate,Buton,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,La Jampi / Kaimuddin,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Buton,Butonese sultanate with elite/elective elements,Selection within ruling elite/dynastic structure,,La Jampi (Kaimuddin),INDEPENDENT,,NO,NO,Implement La Jampi/Kaimuddin with medium confidence and no invented life dates.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Buton Sultanate | https://en.wikipedia.org/wiki/Buton_Sultanate,,,Available ruler chronologies place La Jampi in office 1763–1788.
BUR,Konbaung Burma,Burma,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Hsinbyushin,King,1736,~39,YEAR_ONLY_APPROX_AGE,King of Burma,Konbaung hereditary monarchy,Dynastic succession,,Hsinbyushin,INDEPENDENT,,NO,NO,Implement Hsinbyushin at the 1776-01-01 start; succession to Singu occurs only after Hsinbyushin's death in June 1776.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Hsinbyushin | https://en.wikipedia.org/wiki/Hsinbyushin,Konbaung dynasty | https://en.wikipedia.org/wiki/Konbaung_dynasty,,"Hsinbyushin died 10 June 1776, so he is unambiguously the start-date ruler."
CAM,Kingdom of Cambodia,Cambodia,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Ang Non II,King,1739,~36,YEAR_ONLY_APPROX_AGE,King of Cambodia,Khmer monarchy amid Siamese/Vietnamese rivalry,Dynastic succession heavily conditioned by regional intervention,,Ang Non II,tributary,DAI,NO,MINOR,Implement Ang Non II as King; review the fork's exact tributary relation separately.,IMPLEMENT_HISTORICAL_RULER_WITH_DIPLOMACY_DEFER,HIGH,MEDIUM,MEDIUM,Ang Non II | https://en.wikipedia.org/wiki/Ang_Non_II,Cambodia under Siamese rule | https://en.wikipedia.org/wiki/Cambodia_under_Siamese_rule,,Ang Non II reigned 1775–1779 and was aligned with Siam; a simple Dai Nam tributary relationship is not supported for the whole period.
CHP,Champasak,Champasak,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Sayakumane,King / Chao,,,UNKNOWN_NO_INVENTION,Ruler of Champasak,Lao hereditary kingdom,Dynastic succession,,Sayakumane,vassal,SIA,NO,MINOR,Implement Sayakumane as ruler; do not back-project Siamese vassalage before the 1779 conquest.,IMPLEMENT_HISTORICAL_RULER_WITH_DIPLOMACY_DEFER,HIGH,MEDIUM,LOW,Kingdom of Champasak | https://en.wikipedia.org/wiki/Kingdom_of_Champasak,,,Sayakumane ruled 1737–1791; Siamese conquest came in 1779.
CMI,Chiang Mai / Lan Na,Chiang Mai,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Phraya Wichianprakarn,Ruler / governor of Chiang Mai,,,UNKNOWN_NO_INVENTION,Ruler of Chiang Mai during the anti-Burmese transition,Lan Na city-state in a highly unstable Burmese/Siamese frontier transition,Appointed/local princely leadership amid warfare,,Phraya Wichianprakarn,vassal,SIA,NO,MINOR,Use Phraya Wichianprakarn only as a start-date local ruler abstraction; defer durable subject status and the 1776 depopulation/abandonment to map/diplomacy work.,IMPLEMENT_HISTORICAL_EXECUTIVE_WITH_MAP_DIPLOMACY_DEFER,MEDIUM,MEDIUM,LOW,History of Chiang Mai | https://en.wikipedia.org/wiki/History_of_Chiang_Mai,Lan Na | https://en.wikipedia.org/wiki/Lan_Na,,Chiang Mai was abandoned in 1776; representing a stable normal vassal state is misleading.
DAI,Vietnamese polities during the Tây Sơn wars,Dai Nam,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Multiple rulers: Lê Hiển Tông / Trịnh Sâm / Nguyễn Phúc Thuần / Tây Sơn leadership,,,NOT_APPLICABLE,No single ruler of a unified Đại Nam in 1776,Fragmented north/south Vietnamese political order during Tây Sơn rebellion,Separate dynastic and military regimes,,Multiple competing executives,INDEPENDENT,,NO,NO,Do not assign one historical ruler to the fork-wide DAI abstraction. Defer to map/political-structure rework.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Tây Sơn wars | https://en.wikipedia.org/wiki/T%C3%A2y_S%C6%A1n_wars,Lê Hiển Tông | https://en.wikipedia.org/wiki/L%C3%AA_Hi%E1%BB%83n_T%C3%B4ng,Nguyễn Phúc Thuần | https://en.wikipedia.org/wiki/Nguy%E1%BB%85n_Ph%C3%BAc_Thu%E1%BA%A7n,"In 1776 the Lê/Trịnh north, Nguyễn south and Tây Sơn movement cannot honestly be collapsed into one unified sovereign."
JMB,Jambi Sultanate,Jambi,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Sultan,,,NOT_APPLICABLE,Sultan of Jambi,Hereditary Malay sultanate,Dynastic succession,,Chronology disputed between Ahmad Zainuddin Anom and Masud Badaruddin,INDEPENDENT,,NO,NO,Do not force an individual until the competing 18th-century Jambi ruler chronologies are reconciled; keep title/government but procedural identity.,IDENTITY_CHRONOLOGY_DEFERRED,LOW,MEDIUM,HIGH,Sultanate of Jambi | https://en.wikipedia.org/wiki/Sultanate_of_Jambi,Jambi historical research overview | https://repository.uinjambi.ac.id/,,Available ruler lists conflict over whether Ahmad Zainuddin Anom or Sultan Masud Badaruddin held the throne in 1776.
JOH,Johor-Riau Sultanate,Johore,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Mahmud Riayat Shah III,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Johor-Riau,Hereditary Malay sultanate with Bugis/Yamtuan Muda power-sharing,Dynastic succession alongside powerful Bugis officeholders,,Mahmud Riayat Shah III,INDEPENDENT,,NO,NO,Implement Mahmud Riayat Shah III as Sultan while documenting the dual/power-sharing nature of Johor-Riau politics.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Mahmud Riayat Shah of Johor | https://en.wikipedia.org/wiki/Mahmud_Riayat_Shah_of_Johor,Johor Sultanate | https://en.wikipedia.org/wiki/Johor_Sultanate,,He reigned 1761–1812.
KTI,Kutai Kartanegara,Kutai,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Aji Kado / Sultan Aji Muhammad Aliyeddin,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Kutai Kartanegara,Hereditary Kutai sultanate,Dynastic succession,,Aji Kado (Sultan Aji Muhammad Aliyeddin),INDEPENDENT,,NO,NO,Implement Aji Kado with medium confidence; do not prematurely install Aji Imbut/Muslihuddin.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Kutai Kartanegara Sultanate | https://en.wikipedia.org/wiki/Kutai_Kartanegara_Sultanate,,,"Local chronologies place Aji Kado before Aji Imbut, whose accession is around 1780."
LAN,Lanfang,Lanfang,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_presidential_republic,,No 1776 ruler,,,NOT_APPLICABLE,No Lanfang Republic yet,Chinese mining/community organizations in western Borneo before the Lanfang polity,Not applicable before founding,,No 1776 Lanfang executive,tributary,CHI,NO,MINOR,Do not fabricate Luo Fangbo as a 1776 ruler; defer/remove/restructure the tag in the future map/political phase.,MAP_POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Lanfang Republic | https://en.wikipedia.org/wiki/Lanfang_Republic,Luo Fangbo | https://en.wikipedia.org/wiki/Luo_Fangbo,,"Lanfang is generally dated to 1777, after the scenario start."
LUA,Kingdom of Luang Phrabang,Luang Prabang,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Surinyavong II,King,,,UNKNOWN_NO_INVENTION,King of Luang Phrabang,Lao hereditary monarchy under changing Burmese/Siamese pressure,Dynastic succession,,Surinyavong II,tributary,SIA,NO,MINOR,Implement Surinyavong II; defer the fork's exact Siam tributary relationship because Siamese vassalization followed later.,IMPLEMENT_HISTORICAL_RULER_WITH_DIPLOMACY_DEFER,HIGH,MEDIUM,LOW,Kingdom of Luang Phrabang | https://en.wikipedia.org/wiki/Kingdom_of_Luang_Phrabang,,,Surinyavong II ruled from 1771; the kingdom was under Burmese influence before later Siamese subordination.
MGD,Maguindanao Sultanate,Maguindanao,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Pahar Ud-Din,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Maguindanao,Hereditary Maguindanao sultanate,Dynastic succession,,Pahar Ud-Din,INDEPENDENT,,NO,NO,Implement Pahar Ud-Din as Sultan.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Sultanate of Maguindanao | https://en.wikipedia.org/wiki/Sultanate_of_Maguindanao,,,Ruler lists place Pahar Ud-Din in office 1755–1780.
PHI,Spanish Philippines,Philippines,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_colonial_administration,Simón de Anda y Salazar,Governor-General of the Philippines,,,UNKNOWN_CONFLICTING_SOURCES,Governor-General of the Philippines,Spanish colonial captaincy/governor-generalship,Royal appointment,Charles III of Spain,Simón de Anda y Salazar,colony,SPA,YES,MAJOR,"Represent de Anda as delegated colonial governor, not sovereign. Use no exact birth date because sources conflict.",IMPLEMENT_DELEGATED_COLONIAL_EXECUTIVE,HIGH,HIGH,HIGH,Simón de Anda y Salazar | https://en.wikipedia.org/wiki/Sim%C3%B3n_de_Anda_y_Salazar,Governor-General of the Philippines | https://en.wikipedia.org/wiki/Governor-General_of_the_Philippines,,"De Anda governed from 1770 until 30 October 1776. Published birth years conflict, so the MASTER deliberately omits a precise age."
PON,Pontianak,Pontianak,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Syarif Abdurrahman Alkadrie,Sharif / founding prince,,,UNKNOWN_NO_INVENTION,Founder and ruler of Pontianak before formal sultan title,Emerging Malay-Arab riverine principality,Dynastic founder; formal sultanate title consolidated later,,Syarif Abdurrahman Alkadrie,INDEPENDENT,,NO,NO,Use Syarif Abdurrahman as founder/ruler but not yet as an unqualified Sultan on 1776-01-01.,IMPLEMENT_HISTORICAL_CHIEF,HIGH,MEDIUM,HIGH,Syarif Abdurrahman Alkadrie | https://en.wikipedia.org/wiki/Syarif_Abdurrahman_Alkadrie,Pontianak Sultanate | https://en.wikipedia.org/wiki/Pontianak_Sultanate,,Pontianak was founded in 1771; local traditions place formal coronation as Sultan in 1778.
PRK,Perak Sultanate,Perak,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Alauddin Mansur Shah Iskandar Muda,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Perak,Hereditary Malay sultanate,Dynastic succession,,Alauddin Mansur Shah Iskandar Muda,INDEPENDENT,,NO,NO,Implement Alauddin Mansur Shah as Sultan.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Alauddin Mansur Shah of Perak | https://en.wikipedia.org/wiki/Alauddin_Mansur_Shah_of_Perak,Sultanate of Perak | https://en.wikipedia.org/wiki/Sultanate_of_Perak,,He ruled 1773–1786.
SAK,Siak Sri Indrapura,Siak,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Muhammad Ali Abdul Jalil Muazzam Shah,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Siak,Hereditary Malay sultanate,Dynastic succession,,Muhammad Ali Abdul Jalil Muazzam Shah,INDEPENDENT,,NO,NO,Implement Muhammad Ali with medium confidence and no invented birth date.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Sultanate of Siak Sri Indrapura | https://en.wikipedia.org/wiki/Sultanate_of_Siak_Sri_Indrapura,,,"Common ruler chronologies place Muhammad Ali in office during 1776, although exact accession-year presentations vary."
SEL,Selangor Sultanate,Selangor,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Raja Lumu / Sultan Salahuddin Shah,Sultan,,,UNKNOWN_NO_INVENTION,First Sultan of Selangor,Hereditary Bugis-Malay sultanate,Dynastic succession,,Salahuddin Shah (Raja Lumu),INDEPENDENT,,NO,NO,Implement Sultan Salahuddin Shah.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Salahuddin Shah of Selangor | https://en.wikipedia.org/wiki/Salahuddin_Shah_of_Selangor,Sultanate of Selangor | https://en.wikipedia.org/wiki/Sultanate_of_Selangor,,"Raja Lumu, styled Sultan Salahuddin Shah, remained ruler until 1778."
SHS,Shan States,Shan,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,,Multiple saophas,,,NOT_APPLICABLE,No single ruler of all Shan States,Multiple hereditary Shan principalities,Hereditary saopha succession in individual states,,Multiple saophas,vassal,BUR,NO,MINOR,Do not invent a unitary Shan monarch; defer the centralized tag to political/map rework.,POLITICAL_STRUCTURE_REWORK_DEFERRED,HIGH,HIGH,LOW,Shan States | https://en.wikipedia.org/wiki/Shan_States,Saopha | https://en.wikipedia.org/wiki/Saopha,,"The Shan States were a collection of principalities, not one sovereign state in 1776."
SIA,Thonburi Kingdom,Siam,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Taksin,King,1734-04-17,41,EXACT_IF_SOURCED,King of Thonburi,Centralizing Thai monarchy after the fall of Ayutthaya,Monarchical succession established by military/political conquest,,Taksin,INDEPENDENT,,NO,NO,Implement King Taksin; use Thonburi-era framing rather than later Chakri/Rattanakosin assumptions.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Taksin | https://en.wikipedia.org/wiki/Taksin,Thonburi Kingdom | https://en.wikipedia.org/wiki/Thonburi_Kingdom,,Taksin ruled 1767–1782.
SMB,Sambas Sultanate,Sambas,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Umar Akamuddin II,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Sambas,Hereditary Malay sultanate,Dynastic succession,,Umar Akamuddin II,INDEPENDENT,,NO,NO,Implement Umar Akamuddin II as Sultan.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Sultanate of Sambas | https://en.wikipedia.org/wiki/Sultanate_of_Sambas,,,Ruler chronologies place Umar Akamuddin II in office 1764–1786.
SRK,Surakarta Sunanate,Surakarta,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Pakubuwono III,Susuhunan,1732-02-24,43,EXACT_IF_SOURCED,Susuhunan of Surakarta,Javanese court monarchy under strong VOC influence,Dynastic court succession conditioned by VOC intervention,,Pakubuwono III,puppet,DEI,NO,MINOR,Implement Pakubuwono III as Susuhunan; represent VOC influence separately from personal sovereignty.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Pakubuwono III | https://en.wikipedia.org/wiki/Pakubuwono_III,Surakarta Sunanate | https://en.wikipedia.org/wiki/Surakarta_Sunanate,,Pakubuwono III reigned 1749/1755–1788 depending institutional dating; unquestionably held Surakarta in 1776.
STG,Sintang Sultanate,Sintang,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Abdurrahman Muhammad Jalaluddin,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Sintang,Hereditary Bornean sultanate,Dynastic succession,,Abdurrahman Muhammad Jalaluddin,INDEPENDENT,,NO,NO,Implement Abdurrahman Muhammad Jalaluddin with medium confidence.,IMPLEMENT_HISTORICAL_RULER,MEDIUM,MEDIUM,HIGH,Sintang Regency | https://en.wikipedia.org/wiki/Sintang_Regency,Royal Ark — Sintang | https://www.royalark.net/Indonesia/sintang.htm,,Ruler lists place Sultan Abdurrahman Muhammad Jalaluddin in office 1738–1786.
SUL,Sulu Sultanate,Sulu,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Mohammad Israel,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Sulu,Hereditary Sulu sultanate,Dynastic succession,,Mohammad Israel,INDEPENDENT,,NO,NO,Implement Mohammad Israel as Sultan.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Sultanate of Sulu | https://en.wikipedia.org/wiki/Sultanate_of_Sulu,,,Mohammad Israel is listed as Sultan from 1773 to 1778.
TID,Tidore Sultanate,Tidore,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Jamaluddin,Sultan,,,UNKNOWN_NO_INVENTION,Sultan of Tidore,Hereditary Malukan sultanate under VOC pressure,Dynastic succession,,Jamaluddin,INDEPENDENT,,NO,NO,Implement Sultan Jamaluddin; preserve VOC dependency as a separate constitutional/diplomatic dimension.,IMPLEMENT_HISTORICAL_RULER,HIGH,MEDIUM,HIGH,Sultanate of Tidore | https://en.wikipedia.org/wiki/Sultanate_of_Tidore,,,Jamaluddin ruled 1757–1779.
YOG,Yogyakarta Sultanate,Yogyakarta,SOUTHEAST_ASIA,ENGINE_GENERATED; ruler=Engine-generated ruler (name not captured); title=Engine-generated title (not runtime-captured); government=law_monarchy,Hamengkubuwono I,Sultan,1717-08-05,58,EXACT_IF_SOURCED,Sultan of Yogyakarta,Javanese hereditary sultanate under VOC treaty framework,Dynastic succession,,Hamengkubuwono I,puppet,DEI,NO,MINOR,Implement Hamengkubuwono I as Sultan.,IMPLEMENT_HISTORICAL_RULER,HIGH,HIGH,HIGH,Hamengkubuwono I | https://en.wikipedia.org/wiki/Hamengkubuwono_I,Kraton Yogyakarta — Hamengkubuwono I | https://www.kratonjogja.id/raja-raja/2-sri-sultan-hamengku-buwono-i/,,He ruled from the 1755 establishment of Yogyakarta until 1792.
DUR,Durrani Empire,Afghanistan,MIDDLE_EAST,PRE_EXISTING_HISTORICAL_SCRIPTED; ruler=Timur Durrani; title=Engine-selected monarchical title (unverified); government=law_monarchy,Timur Shah Durrani,Shah,1746-12,29,MONTH_ONLY_APPROX_AGE,Shah of the Durrani Empire,Durrani hereditary monarchy,Dynastic succession from Ahmad Shah Durrani,,Timur Shah Durrani,INDEPENDENT,,NO,NO,Replace/verify the scripted character as Timur Shah Durrani with Shah title and correct succession context.,FIX_SCRIPTED_UNVERIFIED_HISTORICAL_RULER,HIGH,HIGH,HIGH,Timur Shah Durrani | https://en.wikipedia.org/wiki/Timur_Shah_Durrani,Durrani Empire | https://en.wikipedia.org/wiki/Durrani_Empire,,Timur succeeded Ahmad Shah in 1772 and reigned until 1793.
IR1,Mamluk Baghdad / Ottoman Iraq,Mamluk Iraq,MIDDLE_EAST,PRE_EXISTING_HISTORICAL_SCRIPTED; ruler=Omar Ahmad; title=Pasha; government=law_monarchy,Omar Pasha,Pasha / Wali,,,UNKNOWN_NO_INVENTION,"Pasha of Baghdad, head of the Mamluk household government",Ottoman province with semi-autonomous Mamluk household administration,Appointment and household power within Ottoman sovereignty,Abdülhamid I,Omar Pasha,protectorate,TUR,NO,MINOR,"Correct the scripted 'Omar Ahmad' identity to Omar Pasha; portray him as delegated/semi-autonomous Ottoman governor, not sovereign monarch.",FIX_SCRIPTED_UNVERIFIED_DELEGATED_EXECUTIVE,HIGH,HIGH,MEDIUM,Mamluk dynasty of Iraq | https://en.wikipedia.org/wiki/Mamluk_dynasty_of_Iraq,Ottoman Iraq | https://en.wikipedia.org/wiki/Ottoman_Iraq,,Omar Pasha held Baghdad from 1762 into 1776; sources do not support inventing an exact birth date.
BIC,Bengal Presidency / East India Company government,East India,INDIA,DELEGATED_EXECUTIVE; ruler=Warren Hastings; title=Governor-General; government=law_colonial_administration,Warren Hastings,Governor-General of Fort William,1732-12-06,43,EXACT_IF_SOURCED,Governor-General of Fort William / Bengal Presidency,Chartered-company government under British Crown/Parliamentary framework,Company appointment under regulating legislation; not hereditary sovereignty,George III of Great Britain,Warren Hastings,chartered_company,GBR,YES,MAJOR,Keep Warren Hastings only as delegated company executive; never portray him as sovereign monarch. Preserve the BIC frontier-colonization law invariant.,VERIFY_AND_IMPLEMENT_DELEGATED_COMPANY_EXECUTIVE,HIGH,HIGH,HIGH,Warren Hastings | https://en.wikipedia.org/wiki/Warren_Hastings,Governor-General of the Presidency of Fort William | https://en.wikipedia.org/wiki/Governor-General_of_the_Presidency_of_Fort_William,,Hastings had governed Bengal from 1772 and became Governor-General under the Regulating Act framework from 1774.
